PLAYER_ID,Player,Team,Position
1642260,Nikola Topić,Oklahoma City Thunder,G
1628392,Isaiah Hartenstein,Oklahoma City Thunder,C-F
1642935,Chucky Hepburn,Toronto Raptors,G
1630639,A.J. Lawson,Toronto Raptors,G
1641711,Gradey Dick,Toronto Raptors,G-F
1642367,Jonathan Mogbo,Toronto Raptors,F
1627742,Brandon Ingram,Toronto Raptors,F
1630567,Scottie Barnes,Toronto Raptors,F-G
1630193,Immanuel Quickley,Toronto Raptors,G
1629628,RJ Barrett,Toronto Raptors,F-G
1642867,Collin Murray-Boyles,Toronto Raptors,F
1642266,Ja'Kobe Walter,Toronto Raptors,G
202066,Garrett Temple,Toronto Raptors,G-F
1627751,Jakob Poeltl,Toronto Raptors,C
1642347,Jamal Shead,Toronto Raptors,G
1630534,Ochai Agbaji,Toronto Raptors,G
1630572,Sandro Mamukelashvili,Toronto Raptors,F-C
1642918,Alijah Martin,Toronto Raptors,G
1642419,Jamison Battle,Toronto Raptors,F
1641707,Taylor Hendricks,Utah Jazz,F
203937,Kyle Anderson,Utah Jazz,F-G
1641718,Keyonte George,Utah Jazz,G
1642262,Cody Williams,Utah Jazz,F
1642268,Isaiah Collier,Utah Jazz,G
1629004,Svi Mykhailiuk,Utah Jazz,G-F
1642383,Walter Clayton Jr.,Utah Jazz,G
1641989,Elijah Harkless,Utah Jazz,G
1642910,John Tonje,Utah Jazz,G
1642846,Ace Bailey,Utah Jazz,F
1642271,Kyle Filipowski,Utah Jazz,C
1628374,Lauri Markkanen,Utah Jazz,F-C
1631117,Walker Kessler,Utah Jazz,C
1641729,Brice Sensabaugh,Utah Jazz,F
203994,Jusuf Nurkić,Utah Jazz,C
1627777,Georges Niang,Utah Jazz,F
1631131,Oscar Tshiebwe,Utah Jazz,F-C
201567,Kevin Love,Utah Jazz,F-C
1642377,Jaylen Wells,Memphis Grizzlies,F
1630590,Scotty Pippen Jr.,Memphis Grizzlies,G
1629660,Ty Jerome,Memphis Grizzlies,G-F
203484,Kentavious Caldwell-Pope,Memphis Grizzlies,G
1631246,Vince Williams Jr.,Memphis Grizzlies,G
1630583,Santi Aldama,Memphis Grizzlies,F-C
1641765,Olivier-Maxence Prosper,Memphis Grizzlies,F
1628991,Jaren Jackson Jr.,Memphis Grizzlies,F-C
1642914,Javon Small,Memphis Grizzlies,G
1629630,Ja Morant,Memphis Grizzlies,G
1641744,Zach Edey,Memphis Grizzlies,C
1629634,Brandon Clarke,Memphis Grizzlies,F
1641790,PJ Hall,Memphis Grizzlies,C
1642907,Cedric Coward,Memphis Grizzlies,G
1642285,Cam Spencer,Memphis Grizzlies,G
1629111,Jock Landale,Memphis Grizzlies,C
1641713,GG Jackson,Memphis Grizzlies,F
1629723,John Konchar,Memphis Grizzlies,G
1630536,Sharife Cooper,Washington Wizards,G
1641731,Bilal Coulibaly,Washington Wizards,G
1641774,Tristan Vukcevic,Washington Wizards,F
1641715,Cam Whitmore,Washington Wizards,F
203468,CJ McCollum,Washington Wizards,G
1642358,AJ Johnson,Washington Wizards,G
1642364,Jamir Watkins,Washington Wizards,F
1642267,Bub Carrington,Washington Wizards,G
1631103,Malaki Branham,Washington Wizards,F
1630551,Justin Champagnie,Washington Wizards,G-F
1642848,Tre Johnson,Washington Wizards,G
1630264,Anthony Gill,Washington Wizards,F
1642273,Kyshawn George,Washington Wizards,F
1642259,Alex Sarr,Washington Wizards,C
203114,Khris Middleton,Washington Wizards,F
1630557,Corey Kispert,Washington Wizards,F
1642860,Will Riley,Washington Wizards,F
1628963,Marvin Bagley III,Washington Wizards,F
1631105,Jalen Duren,Detroit Pistons,C
1641732,Colby Jones,Detroit Pistons,G
1630595,Cade Cunningham,Detroit Pistons,G
1641842,Ronald Holland II,Detroit Pistons,F
1630194,Paul Reed,Detroit Pistons,F
1627747,Caris LeVert,Detroit Pistons,G
1629750,Javonte Green,Detroit Pistons,G
1641709,Ausar Thompson,Detroit Pistons,G-F
202699,Tobias Harris,Detroit Pistons,F
1642404,Chaz Lanier,Detroit Pistons,G
1631093,Jaden Ivey,Detroit Pistons,G
1642450,Daniss Jenkins,Detroit Pistons,G
1631204,Marcus Sasser,Detroit Pistons,G
1630191,Isaiah Stewart,Detroit Pistons,F-C
1641752,Bobi Klintman,Detroit Pistons,F
1642449,Tolu Smith,Detroit Pistons,F
1629130,Duncan Robinson,Detroit Pistons,F
1628970,Miles Bridges,Charlotte Hornets,F
1630163,LaMelo Ball,Charlotte Hornets,G
1629684,Grant Williams,Charlotte Hornets,F
1642883,Sion James,Charlotte Hornets,G
1642851,Kon Knueppel,Charlotte Hornets,G-F
1629012,Collin Sexton,Charlotte Hornets,G
1630182,Josh Green,Charlotte Hornets,G
1641750,Ryan Kalkbrenner,Charlotte Hornets,C
1641810,Antonio Reeves,Charlotte Hornets,G
1641809,Drew Peterson,Charlotte Hornets,F
1631217,Moussa Diabaté,Charlotte Hornets,F
1626192,Pat Connaughton,Charlotte Hornets,G
203486,Mason Plumlee,Charlotte Hornets,F-C
1630544,Tre Mann,Charlotte Hornets,G
1641706,Brandon Miller,Charlotte Hornets,F
1642354,KJ Simpson,Charlotte Hornets,G
1642275,Tidjane Salaün,Charlotte Hornets,F
1642862,Liam McNeeley,Charlotte Hornets,F
